name,category,total_calls,total_duration,avg_duration,max_duration,pct_business_hours,pct_late_night,avg_hour,first_call,last_call,days_active,is_one_off,calls_per_month,is_active,predicted_category
Afrika,Unknown,7,921,51.0,441,1.0,0.0,10.571428571428571,2023-03-23,2023-05-02,40,False,3.0000000000000004,False,Supplier
Ahmed,Unknown,11,2299,117.0,617,1.0,0.0,11.363636363636363,2022-05-30,2024-07-25,787,False,0.4039167686658506,True,Service Provider
Aitken,Unknown,1,1,1.0,1,1.0,0.0,11.0,2023-03-24,2023-03-24,0,True,1.0,False,Service Provider
Albert,Unknown,3,12,4.0,4,1.0,0.0,11.333333333333334,2023-03-24,2023-03-28,4,False,2.6470588235294117,False,Service Provider
Alberts,Unknown,2,56,28.0,39,1.0,0.0,12.0,2024-02-16,2024-02-16,0,False,2.0,False,Service Provider
Alcock,Unknown,1,62,62.0,62,0.0,0.0,16.0,2023-03-25,2023-03-25,0,True,1.0,False,Service Provider
Alfred,Unknown,1,46,46.0,46,0.0,0.0,18.0,2023-03-25,2023-03-25,0,True,1.0,False,Important Contacts
Allam,Unknown,1,28,28.0,28,1.0,0.0,14.0,2022-05-30,2022-05-30,0,True,1.0,False,Supplier
Allan,Unknown,8,203,6.0,85,0.5,0.0,14.75,2022-05-30,2022-07-04,35,False,3.692307692307691,False,Supplier
Allen,Unknown,2,59,29.5,43,0.5,0.0,13.0,2022-05-31,2022-07-03,33,False,0.9523809523809524,False,Supplier
Allers,Unknown,12,877,61.0,237,1.0,0.0,12.5,2023-03-27,2023-04-03,7,False,9.72972972972973,False,Supplier
Alli,Unknown,905,44383,22.0,2068,0.6596685082872928,0.0,12.898342541436463,2022-01-03,2024-09-28,999,False,26.384839650145775,True,Supplier
Allie,Unknown,3,166,25.0,120,1.0,0.0,11.666666666666666,2022-05-31,2022-06-02,2,False,2.8125,False,Service Provider
Allison,Unknown,1,45,45.0,45,1.0,0.0,15.0,2024-02-16,2024-02-16,0,True,1.0,False,Important Contacts
Ally,Unknown,1,46,46.0,46,1.0,0.0,9.0,2022-01-03,2022-01-03,0,True,1.0,False,Service Provider
Alves,Unknown,17,1039,13.0,323,0.7058823529411765,0.0,12.411764705882351,2022-05-31,2023-01-31,245,False,1.8545454545454547,False,Supplier
Ambrose,Unknown,5,23,4.0,6,0.6,0.0,12.2,2024-02-16,2024-02-17,1,False,4.838709677419354,False,Service Provider
Ameen,Unknown,4,91,13.0,61,1.0,0.0,12.5,2022-06-01,2022-06-22,21,False,2.3529411764705883,False,Supplier
Ameer,Unknown,1,26,26.0,26,1.0,0.0,13.0,2022-06-02,2022-06-02,0,True,1.0,False,Supplier
Amos,Unknown,1,26,26.0,26,1.0,0.0,9.0,2022-01-03,2022-01-03,0,True,1.0,False,Service Provider
Anand,Unknown,58,1982,19.5,283,0.4137931034482758,0.0172413793103448,13.086206896551724,2022-06-03,2024-08-06,795,False,2.109090909090909,True,Family
Ander,Unknown,3,186,39.0,119,1.0,0.0,12.0,2022-06-03,2022-07-07,34,False,1.40625,False,Supplier
Andre,Unknown,3,76,33.0,37,0.0,0.0,17.0,2022-06-04,2023-01-28,238,False,0.335820895522388,False,Supplier
Andreas,Unknown,2,97,48.5,59,0.0,0.0,9.5,2024-02-17,2024-02-17,0,False,2.0,False,Service Provider
Andrew,Unknown,2,15,7.5,11,0.5,0.0,13.0,2023-03-27,2023-03-28,1,False,1.9354838709677415,False,Service Provider
Andrews,Unknown,3,1071,3.0,1066,0.3333333333333333,0.0,11.666666666666666,2024-02-18,2024-06-22,125,False,0.5806451612903225,True,Service Provider
Andries,Unknown,1,127,127.0,127,1.0,0.0,10.0,2024-02-19,2024-02-19,0,True,1.0,False,Service Provider
Angel,Unknown,4,224,29.5,156,0.75,0.0,13.75,2022-06-06,2023-01-30,238,False,0.4477611940298507,False,Supplier
Anthony,Unknown,1,262,262.0,262,1.0,0.0,15.0,2024-02-19,2024-02-19,0,True,1.0,False,Service Provider
Antoni,Unknown,1,69,69.0,69,1.0,0.0,9.0,2023-03-28,2023-03-28,0,True,1.0,False,Service Provider
Antonie,Unknown,1,22,22.0,22,1.0,0.0,8.0,2024-02-20,2024-02-20,0,True,1.0,False,Service Provider
Aphane,Unknown,1,161,161.0,161,1.0,0.0,9.0,2023-03-28,2023-03-28,0,True,1.0,False,Service Provider
Appel,Unknown,1,46,46.0,46,1.0,0.0,10.0,2022-06-06,2022-06-06,0,True,1.0,False,Service Provider
Appels,Unknown,6,109,6.5,48,0.5,0.0,9.333333333333334,2023-03-28,2024-09-28,550,False,0.3103448275862069,True,Service Provider
April,Unknown,31,2175,55.0,152,0.8387096774193549,0.0,12.096774193548388,2022-06-06,2024-10-01,848,False,1.0592255125284735,True,Supplier
Arbee,Unknown,2,72,36.0,71,0.5,0.0,11.0,2022-06-06,2022-09-10,96,False,0.4761904761904761,False,Service Provider
Archer,Unknown,1,82,82.0,82,1.0,0.0,9.0,2023-03-28,2023-03-28,0,True,1.0,False,Service Provider
Arends,Unknown,2,68,34.0,51,1.0,0.0,10.0,2023-03-28,2023-03-29,1,False,1.9354838709677415,False,Service Provider
Arendse,Unknown,1,75,75.0,75,1.0,0.0,13.0,2024-02-20,2024-02-20,0,True,1.0,False,Supplier
Arnold,Unknown,2,158,79.0,154,1.0,0.0,12.0,2023-03-28,2023-03-29,1,False,1.9354838709677415,False,Service Provider
Arnolds,Unknown,2,579,289.5,479,1.0,0.0,12.5,2024-02-20,2024-10-02,225,False,0.2352941176470588,True,Service Provider
Aron,Unknown,4,69,6.5,53,1.0,0.0,13.25,2022-01-03,2023-08-08,582,False,0.196078431372549,False,Supplier
Arries,Unknown,3,103,35.0,36,0.0,0.0,16.0,2023-03-28,2023-07-02,96,False,0.7142857142857143,False,Service Provider
Arthur,Unknown,2,27,13.5,24,1.0,0.0,10.5,2023-03-29,2023-06-01,64,False,0.6382978723404256,False,Service Provider
Ashley,Unknown,2,11,5.5,9,1.0,0.0,9.5,2023-03-29,2023-03-29,0,False,2.0,False,Service Provider
Ashton,Unknown,3,162,25.0,115,1.0,0.0,14.0,2023-03-29,2023-03-29,0,False,3.0,False,Supplier
Aslam,Unknown,2,140,70.0,116,0.5,0.0,10.5,2022-06-09,2022-07-21,42,False,0.8333333333333334,False,Service Provider
Asmal,Unknown,1,25,25.0,25,1.0,0.0,14.0,2022-06-09,2022-06-09,0,True,1.0,False,Supplier
Astrum,Supplier,7,673,85.0,207,1.0,0.0,13.857142857142858,2022-01-10,2023-07-11,547,False,0.363951473136915,False,Supplier
Atkins,Unknown,1,101,101.0,101,1.0,0.0,12.0,2023-03-29,2023-03-29,0,True,1.0,False,Service Provider
August,Unknown,1,31,31.0,31,1.0,0.0,14.0,2023-03-29,2023-03-29,0,True,1.0,False,Supplier
Auntie PHO01,Family,57,21217,32.0,4463,0.5964912280701754,0.0350877192982456,12.614035087719298,2022-01-22,2023-03-13,415,False,3.842696629213483,False,Family
Auret,Unknown,2,217,108.5,159,1.0,0.0,13.0,2022-06-10,2022-06-22,12,False,1.4285714285714286,False,Service Provider
Austin,Unknown,18,1254,58.5,254,0.3333333333333333,0.0,13.833333333333334,2023-03-30,2024-06-28,456,False,1.1111111111111112,True,Supplier
Avenant,Unknown,4,569,87.5,392,0.25,0.0,11.5,2024-02-20,2024-03-16,25,False,2.1818181818181817,False,Supplier
Avril,Unknown,1,10,10.0,10,1.0,0.0,16.0,2022-06-10,2022-06-10,0,True,1.0,False,Supplier
Awa Computers,Supplier,47,1716,32.0,156,0.851063829787234,0.0,12.851063829787234,2023-09-01,2024-10-04,399,False,3.2867132867132867,True,Supplier
Aylward,Unknown,1,27,27.0,27,1.0,0.0,14.0,2024-02-20,2024-02-20,0,True,1.0,False,Supplier
Aziz,Unknown,19,842,31.0,138,0.8421052631578947,0.0,13.105263157894736,2022-01-03,2023-04-04,456,False,1.1728395061728396,False,Supplier
Bailey,Unknown,1,149,149.0,149,1.0,0.0,16.0,2023-03-30,2023-03-30,0,True,1.0,False,Service Provider
Baker,Unknown,1,160,160.0,160,0.0,0.0,10.0,2022-06-11,2022-06-11,0,True,1.0,False,Service Provider
Baleni,Unknown,1,13,13.0,13,0.0,0.0,17.0,2023-03-30,2023-03-30,0,True,1.0,False,Supplier
Ball,Unknown,1,219,219.0,219,1.0,0.0,12.0,2022-01-04,2022-01-04,0,True,1.0,False,Service Provider
Baloi,Unknown,1,25,25.0,25,0.0,0.0,13.0,2022-06-11,2022-06-11,0,True,1.0,False,Supplier
Baloyi,Unknown,2,98,49.0,68,1.0,0.0,16.0,2023-03-31,2023-03-31,0,False,2.0,False,Supplier
Bambo,Unknown,1,65,65.0,65,1.0,0.0,12.0,2022-06-13,2022-06-13,0,True,1.0,False,Service Provider
Banda,Unknown,4,108,9.0,86,1.0,0.0,13.75,2022-06-13,2022-06-22,9,False,3.0769230769230766,False,Supplier
Bangani,Unknown,1,32,32.0,32,1.0,0.0,8.0,2024-02-22,2024-02-22,0,True,1.0,False,Service Provider
Bango,Unknown,1,38,38.0,38,0.0,0.0,17.0,2022-06-13,2022-06-13,0,True,1.0,False,Important Contacts
Bapela,Unknown,5,632,119.0,266,0.6,0.0,13.2,2023-04-01,2024-07-20,476,False,0.2964426877470356,True,Service Provider
Barends,Unknown,1,53,53.0,53,1.0,0.0,10.0,2024-02-23,2024-02-23,0,True,1.0,False,Service Provider
Barker,Unknown,1,57,57.0,57,0.0,0.0,15.0,2023-04-01,2023-04-01,0,True,1.0,False,Supplier
Barnard,Unknown,1,5,5.0,5,1.0,0.0,15.0,2024-02-23,2024-02-23,0,True,1.0,False,Supplier
Barnes,Unknown,13,862,38.0,275,0.4615384615384615,0.0,13.0,2023-04-01,2023-08-05,126,False,2.5,False,Supplier
Barry,Unknown,1,18,18.0,18,1.0,0.0,8.0,2022-06-14,2022-06-14,0,True,1.0,False,Service Provider
Basson,Unknown,1,10,10.0,10,0.0,1.0,23.0,2023-04-01,2023-04-01,0,True,1.0,False,Important Contacts
Baxter,Unknown,6,2473,45.0,2272,0.3333333333333333,0.0,13.166666666666666,2023-04-02,2024-06-15,440,False,0.3829787234042553,True,Service Provider
Becker,Unknown,56,1027,5.0,187,0.9642857142857144,0.0,12.482142857142858,2023-04-03,2024-09-30,546,False,2.916666666666667,True,Supplier
Beer,Unknown,58,42115,308.0,6394,0.4310344827586206,0.0517241379310344,13.46551724137931,2022-01-04,2024-06-18,896,False,1.879049676025918,True,Service Provider
Behrens,Unknown,1,15,15.0,15,0.0,0.0,19.0,2024-02-23,2024-02-23,0,True,1.0,False,Supplier
Bekker,Unknown,2,65,32.5,58,0.5,0.0,16.0,2023-04-03,2023-04-04,1,False,1.9354838709677415,False,Service Provider
Bell,Unknown,2,22,11.0,15,1.0,0.0,15.0,2022-01-04,2022-05-23,139,False,0.3550295857988165,False,Supplier
Bembe,Unknown,3,386,79.0,235,1.0,0.0,10.666666666666666,2022-06-14,2022-10-26,134,False,0.5487804878048781,False,Supplier
Benade,Unknown,3,162,64.0,79,0.6666666666666666,0.0,16.333333333333332,2023-04-04,2023-04-04,0,False,3.0,False,Service Provider
Beneke,Unknown,2,42,21.0,33,1.0,0.0,9.0,2023-04-05,2023-04-05,0,False,2.0,False,Service Provider
Bengu,Unknown,4,581,120.0,263,1.0,0.0,12.75,2022-06-14,2022-06-30,16,False,2.608695652173913,False,Supplier
Bennett,Unknown,6,250,37.0,74,0.6666666666666666,0.0,12.666666666666666,2024-02-24,2024-07-12,139,False,1.0650887573964496,True,Supplier
Benson,Unknown,2,197,98.5,108,1.0,0.0,14.0,2023-04-05,2023-04-12,7,False,1.6216216216216215,False,Supplier
Bentley,Unknown,7,96,7.0,54,0.8571428571428571,0.0,12.0,2024-01-12,2024-02-26,45,False,2.8,False,Service Provider
Berg,Unknown,21,4491,141.0,945,0.5238095238095238,0.0,14.047619047619047,2022-01-04,2024-06-22,900,False,0.6774193548387096,True,Service Provider
Bergh,Unknown,2,172,86.0,101,0.5,0.0,16.5,2022-06-17,2022-06-17,0,False,2.0,False,Service Provider
Berry,Unknown,1,7,7.0,7,0.0,0.0,17.0,2022-06-17,2022-06-17,0,True,1.0,False,Supplier
Bester,Unknown,1,7,7.0,7,1.0,0.0,16.0,2023-04-05,2023-04-05,0,True,1.0,False,Supplier
Beukes,Unknown,2,7,3.5,5,1.0,0.0,12.5,2023-04-05,2023-04-20,15,False,1.3333333333333333,False,Supplier
Beyers,Unknown,8,68,4.0,43,0.875,0.0,13.25,2023-04-06,2023-10-19,196,False,1.0619469026548674,False,Supplier
Bhengu,Unknown,1,5,5.0,5,1.0,0.0,9.0,2023-04-06,2023-04-06,0,True,1.0,False,Service Provider
Bibi,Unknown,1,50,50.0,50,1.0,0.0,16.0,2022-01-05,2022-01-05,0,True,1.0,False,Supplier
Bierman,Unknown,1,21,21.0,21,1.0,0.0,14.0,2024-02-26,2024-02-26,0,True,1.0,False,Supplier
Biggs,Unknown,4,265,64.5,75,0.75,0.0,12.75,2022-06-17,2022-09-13,88,False,1.0169491525423728,False,Supplier
Bila,Unknown,14,869,39.0,327,0.5714285714285714,0.0,12.928571428571429,2022-01-06,2024-04-27,842,False,0.481651376146789,False,Supplier
Bishop,Unknown,2,5,2.5,3,1.0,0.0,10.5,2023-04-06,2023-04-06,0,False,2.0,False,Service Provider
Biyela,Unknown,3,53,21.0,29,0.0,0.0,12.0,2023-04-09,2023-04-09,0,False,3.0,False,Service Provider
Blaauw,Unknown,2,43,21.5,39,0.0,0.0,18.0,2023-04-09,2023-04-09,0,False,2.0,False,Service Provider
Black,Unknown,1,3,3.0,3,0.0,0.0,10.0,2022-06-18,2022-06-18,0,True,1.0,False,Service Provider
Blake,Unknown,2,64,32.0,49,1.0,0.0,12.5,2022-06-20,2022-06-21,1,False,1.9354838709677415,False,Supplier
Bloem,Unknown,9,312,31.0,65,0.6666666666666666,0.0,14.11111111111111,2022-06-21,2023-05-11,324,False,0.7627118644067796,False,Supplier
Blom,Unknown,1,191,191.0,191,1.0,0.0,11.0,2022-01-06,2022-01-06,0,True,1.0,False,Service Provider
Bock,Unknown,7,36,4.0,7,0.7142857142857143,0.0,13.857142857142858,2022-01-06,2023-07-07,547,False,0.363951473136915,False,Supplier
Booi,Unknown,21,1135,43.0,267,0.5238095238095238,0.0,12.38095238095238,2022-01-07,2024-01-12,735,False,0.8235294117647058,False,Supplier
Booth,Unknown,1,103,103.0,103,1.0,0.0,14.0,2022-06-22,2022-06-22,0,True,1.0,False,Supplier
Booysen,Unknown,13,4544,76.0,1179,0.4615384615384615,0.0,14.923076923076923,2024-02-26,2024-07-21,146,False,2.2159090909090913,True,Service Provider
Bopape,Unknown,1,42,42.0,42,1.0,0.0,9.0,2023-04-12,2023-04-12,0,True,1.0,False,Service Provider
Bornman,Unknown,7,232,7.0,103,1.0,0.0,15.142857142857142,2024-01-12,2024-02-28,47,False,2.7272727272727275,False,Supplier
Bosch,Unknown,1,123,123.0,123,1.0,0.0,14.0,2022-06-22,2022-06-22,0,True,1.0,False,Service Provider
Boshoff,Unknown,3,51,20.0,26,1.0,0.0,16.0,2024-02-27,2024-02-27,0,False,3.0,False,Supplier
Bosman,Unknown,3,156,50.0,66,1.0,0.0,14.333333333333334,2023-04-12,2023-04-12,0,False,3.0,False,Supplier
Botes,Unknown,1,43,43.0,43,1.0,0.0,14.0,2022-06-22,2022-06-22,0,True,1.0,False,Important Contacts
Botha,Unknown,1,529,529.0,529,1.0,0.0,10.0,2022-06-23,2022-06-23,0,True,1.0,False,Service Provider
Bothma,Unknown,1,68,68.0,68,1.0,0.0,14.0,2023-04-13,2023-04-13,0,True,1.0,False,Supplier
Boucher,Unknown,1,1,1.0,1,1.0,0.0,16.0,2024-02-27,2024-02-27,0,True,1.0,False,Supplier
Bouwer,Unknown,3,8,3.0,3,1.0,0.0,16.0,2023-04-17,2023-04-17,0,False,3.0,False,Supplier
Boya,Unknown,51,3893,23.0,465,0.3333333333333333,0.0196078431372549,14.823529411764708,2022-01-07,2024-01-02,725,False,2.0264900662251653,False,Family
Boyce,Unknown,2,34,17.0,18,1.0,0.0,11.5,2022-06-23,2023-08-18,421,False,0.1330376940133037,False,Supplier
Bradley,Unknown,1,78,78.0,78,1.0,0.0,11.0,2024-02-28,2024-02-28,0,True,1.0,False,Service Provider
Brand,Unknown,2,878,439.0,467,1.0,0.0,13.0,2022-06-24,2022-06-24,0,False,2.0,False,Service Provider
Brandt,Unknown,8,569,4.0,260,1.0,0.0,12.625,2023-04-18,2023-04-26,8,False,6.315789473684211,False,Supplier
Brien,Unknown,1,133,133.0,133,0.0,0.0,17.0,2022-06-24,2022-06-24,0,True,1.0,False,Service Provider
Brink,Unknown,1,146,146.0,146,1.0,0.0,15.0,2022-06-27,2022-06-27,0,True,1.0,False,Service Provider
Brits,Unknown,3,287,41.0,208,1.0,0.0,10.0,2022-06-28,2022-06-28,0,False,3.0,False,Service Provider
Britz,Unknown,4,25,3.0,16,1.0,0.0,12.25,2022-06-28,2022-07-07,9,False,3.0769230769230766,False,Service Provider
Brooks,Unknown,5,17,3.0,5,0.8,0.0,14.8,2023-04-18,2023-08-14,118,False,1.0135135135135134,False,Supplier
Brown,Unknown,1,34,34.0,34,1.0,0.0,14.0,2022-06-28,2022-06-28,0,True,1.0,False,Important Contacts
Bruce,Unknown,1,112,112.0,112,0.0,0.0,17.0,2022-06-28,2022-06-28,0,True,1.0,False,Service Provider
Brummer,Unknown,16,434,21.5,75,1.0,0.0,13.0,2024-02-28,2024-06-20,113,False,3.3566433566433567,True,Supplier
Bruyns,Unknown,1,35,35.0,35,1.0,0.0,10.0,2023-04-19,2023-04-19,0,True,1.0,False,Service Provider
Budget Insurance,Service Provider,4,1213,229.5,595,0.0,0.25,12.5,2022-05-07,2023-07-14,433,False,0.2591792656587472,False,Service Provider
Budget Insurance II,Service Provider,6,4091,545.5,1811,1.0,0.0,11.666666666666666,2022-02-09,2023-08-14,551,False,0.3098106712564544,False,Service Provider
Budgetins,Service Provider,5,605,15.0,342,0.4,0.0,10.4,2023-06-25,2023-06-28,3,False,4.545454545454545,False,Service Provider
Burger,Unknown,1,39,39.0,39,1.0,0.0,11.0,2023-04-19,2023-04-19,0,True,1.0,False,Service Provider
Burns,Unknown,2,366,183.0,224,1.0,0.0,9.0,2022-06-29,2022-06-29,0,False,2.0,False,Service Provider
Burton,Unknown,1,72,72.0,72,1.0,0.0,11.0,2023-04-19,2023-04-19,0,True,1.0,False,Service Provider
Buso,Unknown,1,21,21.0,21,0.0,0.0,11.0,2022-01-08,2022-01-08,0,True,1.0,False,Service Provider
Butler,Unknown,3,105,41.0,60,0.6666666666666666,0.0,14.666666666666666,2023-04-19,2023-04-29,10,False,2.25,False,Supplier
Buys,Unknown,4,207,53.0,67,1.0,0.0,11.75,2022-01-10,2022-01-10,0,False,4.0,False,Service Provider
Bvuma,Unknown,1,12,12.0,12,1.0,0.0,10.0,2022-06-29,2022-06-29,0,True,1.0,False,Service Provider
Calitz,Unknown,2,173,86.5,166,0.5,0.0,14.0,2023-04-20,2023-04-20,0,False,2.0,False,Service Provider
Calvert,Unknown,1,5,5.0,5,1.0,0.0,14.0,2024-02-28,2024-02-28,0,True,1.0,False,Supplier
Cameron,Unknown,1,45,45.0,45,1.0,0.0,14.0,2024-02-29,2024-02-29,0,True,1.0,False,Important Contacts
Candidate CEL01,Family,477,25168,36.0,776,0.7316561844863732,0.0125786163522012,13.150943396226417,2024-01-06,2024-08-06,213,False,58.88888888888889,True,Family
Candidate CEL02,Family,96,8975,37.5,1021,0.34375,0.0416666666666666,15.145833333333334,2022-03-26,2024-05-05,771,False,3.595505617977528,False,Family
Candidate CEL03,Family,56,2559,32.5,339,0.7857142857142857,0.0892857142857142,13.714285714285714,2022-04-30,2024-08-06,829,False,1.9557625145518045,True,Family
Capitec Bank,Service Provider,5,719,147.0,386,0.6,0.0,15.2,2022-03-23,2023-10-14,570,False,0.25,False,Service Provider
Carelse,Unknown,1,15,15.0,15,1.0,0.0,15.0,2024-02-29,2024-02-29,0,True,1.0,False,Supplier
Carlson,Unknown,15,2405,102.0,461,0.9333333333333332,0.0,13.066666666666666,2024-03-01,2024-07-24,145,False,2.5714285714285716,True,Supplier
Carolus,Unknown,2,144,72.0,86,0.0,0.0,9.0,2024-03-02,2024-03-02,0,False,2.0,False,Service Provider
Carr,Unknown,4,9,2.0,3,1.0,0.0,12.75,2022-01-10,2022-07-29,200,False,0.5217391304347826,False,Supplier
Carter,Unknown,1,69,69.0,69,1.0,0.0,12.0,2023-04-20,2023-04-20,0,True,1.0,False,Service Provider
Cartrack,Service Provider,8,2434,402.5,509,1.0,0.0,11.875,2022-02-09,2023-02-07,363,False,0.6106870229007634,False,Service Provider
Cartrack ZA,Service Provider,23,8112,317.0,1028,0.8695652173913043,0.0,12.391304347826088,2022-03-15,2024-01-13,669,False,0.9871244635193132,False,Service Provider
Cassim,Unknown,3,62,7.0,50,0.3333333333333333,0.0,15.666666666666666,2023-04-20,2023-05-03,13,False,2.0930232558139537,False,Service Provider
Cawood,Unknown,1,52,52.0,52,1.0,0.0,16.0,2023-04-20,2023-04-20,0,True,1.0,False,Supplier
Cele,Unknown,36,1532,33.5,244,0.6944444444444444,0.0,13.11111111111111,2022-01-10,2024-08-02,935,False,1.1191709844559583,True,Supplier
Chabeli,Unknown,5,357,34.0,187,0.6,0.0,11.6,2024-03-02,2024-07-30,150,False,0.8333333333333334,True,Supplier
Chaka,Unknown,5,489,73.0,202,1.0,0.0,13.2,2022-06-29,2022-07-29,30,False,2.5,False,Supplier
Chapman,Unknown,1,73,73.0,73,0.0,0.0,10.0,2024-03-02,2024-03-02,0,True,1.0,False,Service Provider
Charles,Unknown,1,25,25.0,25,0.0,0.0,12.0,2024-03-02,2024-03-02,0,True,1.0,False,Service Provider
Charlie,Unknown,1,30,30.0,30,0.0,0.0,17.0,2024-03-02,2024-03-02,0,True,1.0,False,Supplier
Chauke,Unknown,7,43,3.0,21,1.0,0.0,13.142857142857142,2023-04-21,2023-05-09,18,False,4.375,False,Supplier
Chen,Unknown,118,3007,16.0,172,0.8559322033898306,0.0,12.966101694915254,2022-01-10,2024-06-10,882,False,3.881578947368421,True,Supplier
Chetty,Unknown,1,3,3.0,3,0.0,0.0,14.0,2023-04-22,2023-04-22,0,True,1.0,False,Supplier
Chidi,Unknown,2,130,65.0,81,1.0,0.0,12.0,2022-06-30,2022-06-30,0,False,2.0,False,Service Provider
Chili,Unknown,2,46,23.0,29,1.0,0.0,10.0,2022-06-30,2022-06-30,0,False,2.0,False,Service Provider
Chiliza,Unknown,1,9,9.0,9,0.0,0.0,7.0,2024-03-04,2024-03-04,0,True,1.0,False,Service Provider
Chirwa,Unknown,1,28,28.0,28,0.0,0.0,7.0,2023-04-24,2023-04-24,0,True,1.0,False,Service Provider
Chiya,Unknown,1,6,6.0,6,1.0,0.0,11.0,2022-06-30,2022-06-30,0,True,1.0,False,Service Provider
Choma,Unknown,2,28,14.0,15,1.0,0.0,11.0,2022-06-30,2022-06-30,0,False,2.0,False,Service Provider
Chonco,Unknown,1,122,122.0,122,1.0,0.0,9.0,2023-04-24,2023-04-24,0,True,1.0,False,Service Provider
Chuene,Unknown,1,23,23.0,23,1.0,0.0,9.0,2023-04-24,2023-04-24,0,True,1.0,False,Service Provider
Chuma,Unknown,5,82,8.0,55,1.0,0.0,11.2,2022-06-30,2022-06-30,0,False,5.0,False,Service Provider
Cindi,Unknown,7,58,9.0,16,1.0,0.0,11.285714285714286,2022-06-30,2022-06-30,0,False,7.0,False,Service Provider
Cingo,Unknown,2,231,115.5,210,1.0,0.0,10.0,2022-06-30,2022-07-01,1,False,1.9354838709677415,False,Service Provider
City of Ekurhuleni Metro,Service Provider,11,2225,110.0,662,0.5454545454545454,0.0,13.909090909090908,2022-07-31,2024-07-19,719,False,0.4405874499332443,True,Service Provider
Ciya,Unknown,3,64,23.0,26,0.6666666666666666,0.0,15.666666666666666,2022-01-10,2023-01-06,361,False,0.2301790281329923,False,Supplier
Claasen,Unknown,2,77,38.5,61,1.0,0.0,10.0,2024-03-04,2024-03-04,0,False,2.0,False,Service Provider
Clack,Unknown,4,18,5.0,6,1.0,0.0,11.5,2022-06-30,2022-06-30,0,False,4.0,False,Service Provider
Clark,Unknown,1,41,41.0,41,1.0,0.0,12.0,2022-06-30,2022-06-30,0,True,1.0,False,Service Provider
Clarke,Unknown,3,269,61.0,179,1.0,0.0,13.666666666666666,2023-04-24,2023-04-28,4,False,2.6470588235294117,False,Supplier
Classen,Unknown,3,489,180.0,238,1.0,0.0,13.333333333333334,2024-03-04,2024-03-04,0,False,3.0,False,Supplier
